rating,review_title,review_text,date,platform
5,Best mutual fund app,Groww is the most user-friendly app for mutual fund investments. The fact that I can start SIP with just Rs 100 is great. Very happy with the returns visibility.,2024-06-07,Android
2,Settlement amount incorrect,The settlement amount shown in my ledger doesn't match what I calculated based on my trades. There seems to be a discrepancy in brokerage deductions.,2024-06-06,Android
3,KYC video call not available,The video KYC slot booking shows as unavailable for 3 consecutive days. I need to complete my account upgrade. Please add more slots.,2024-06-04,Android
1,Critical — duplicate order placed,The app placed a duplicate order when I tapped the buy button once. Got charged for two lots instead of one. Support says they can't cancel post-execution.,2024-06-03,Android
4,Great F&O analytics,The Greeks display for options is the best I've seen in any Indian broker app. The payoff chart is very useful for planning strategies.,2024-06-02,Android
2,Customer support wait time,Average wait time to connect to a human agent is 30-40 minutes. The bot handles less than 20% of queries properly. Need significant improvement.,2024-06-05,Android
1,Funds stuck in transit,My mutual fund redemption request was processed but funds haven't hit my bank account in 4 business days. T+3 is the norm but this is T+6.,2024-06-01,Android
5,Outstanding app overall,From account opening to first investment everything was smooth. Highly recommended for beginners and experienced investors alike.,2024-06-07,Android
2,Notification spam,Getting 15-20 push notifications per day about stocks I've never shown interest in. The notification preference settings don't seem to work.,2024-06-06,Android
1,SIP auto-debit failed silently,My SIP auto-debit failed for the month but I received no notification. Found out only when I manually checked. Please add failure alerts.,2024-06-04,Android
3,Occasional lag on watchlist,The watchlist price refresh sometimes lags by 2-3 seconds during heavy trading sessions. Not a dealbreaker but could be improved.,2024-06-03,Android
4,Excellent research section,The fundamental data and analyst reports available in the app are comprehensive. Comparing stocks side by side is very handy for decision making.,2024-06-05,Android
1,Wrong tax statement,The tax P&L statement for FY24 shows incorrect buy prices for some stocks due to corporate actions not being adjusted properly. This will cause issues when filing ITR.,2024-06-02,Android
5,Quick IPO applications,Applied for two IPOs seamlessly via UPI mandate. The allotment status update was prompt. Groww makes IPO investing very accessible.,2024-06-07,Android
2,Options chain loads slowly,The options chain takes 8-10 seconds to load on a 5G connection. By the time it loads the premiums have already changed significantly.,2024-06-06,Android
3,Dark mode inconsistency,Some screens in the app haven't been updated for dark mode. The holdings detail page still shows a white background while everything else is dark.,2024-06-01,Android
1,Login OTP delayed by 5 minutes,The login OTP takes 5+ minutes to arrive via SMS. By then the session times out and I have to request again. Makes login extremely frustrating.,2024-06-04,Android
4,Smooth bank addition,Adding a new bank account was much faster than expected. Penny drop verification worked instantly and the bank was live within minutes.,2024-06-03,Android
2,Portfolio P&L calculation bug,The overall portfolio P&L percentage doesn't account for dividends received. This makes my actual returns look worse than they are.,2024-06-05,Android
5,Love the new UI,The recent redesign is excellent. The home screen now shows relevant information at a glance. The app feels much faster and more responsive than before.,2024-06-07,Android
